waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position: [6.011894997358812e-11, 2.389159828039972e-06, 0.42049888147737985]
yaw at settle (before control_loop has published a single command): +0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005574175111016734, -0.00020381200605548922, 0.35932379097231193]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005574175111016734, -0.00020381200605548922, 0.35932379097231193]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005574175111016734, -0.00020381200605548922, 0.35932379097231193]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005574175111016734, -0.00020381200605548922, 0.35932379097231193]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005574175111016734, -0.00020381200605548922, 0.35932379097231193]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005575176478859172, -0.00020379325343040727, 0.3593236742011342]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005575176478859172, -0.00020379325343040727, 0.3593236742011342]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005575176478859172, -0.00020379325343040727, 0.3593236742011342]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005575176478859172, -0.00020379325343040727, 0.3593236742011342]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
start_yaw (reset baseline, absolute): -0.17 deg
TROT_PERIOD=1.0s  STANCE_DUTY=0.5  DESIRED_VX=0.15 m/s  STRIDE_HALF_AMPLITUDE=0.0375 m  RAIBERT=False
--- easing into trot's t=0 pose ---
  [easing into trot   1%] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005575176478859172, -0.00020379325343040727, 0.3593236742011342]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [easing into trot  10%] pitch: -0.16 deg  roll: +0.06 deg  yaw: -0.33 deg  body_xyz: [0.006286889046339779, -0.0005974038194227324, 0.358897160251231]  speed_xy: 0.019 (target 0.150)  theta: -0.24 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.169 BL:-0.169 BR:-0.168}
  [easing into trot  20%] pitch: +0.08 deg  roll: +0.21 deg  yaw: -0.15 deg  body_xyz: [0.00357495223534345, -0.0014891980435007101, 0.35834829115449063]  speed_xy: 0.032 (target 0.150)  theta: +0.21 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.171 FR:-0.168 BL:-0.171 BR:-0.168}
