waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = -0.00 deg
body position: [2.8327779500983087e-09, -3.038301542009153e-09, 0.4204979243519505]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.0001468138476003672, -2.1289822503408608e-08, 0.35897386110845225]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.0001468138476003672, -2.1289822503408608e-08, 0.35897386110845225]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00014581151238821013, -2.1288456619589647e-08, 0.35897356559354954]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00014480904461345483, -2.128709216167663e-08, 0.3589732700475068]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00014480904461345483, -2.128709216167663e-08, 0.3589732700475068]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00014380644430313892, -2.1285732871653846e-08, 0.3589729744703216]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
start_yaw (reset baseline, absolute): +0.00 deg
TROT_PERIOD=1.6s  STANCE_DUTY=0.5  DESIRED_VX=0.15 m/s  STRIDE_HALF_AMPLITUDE=0.0600 m  RAIBERT=False
--- easing into trot's t=0 pose ---
  [easing into trot   1%] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00014380644430313892, -2.1285732871653846e-08, 0.3589729744703216]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [easing into trot  10%] pitch: +0.01 deg  roll: +0.13 deg  yaw: -0.00 deg  body_xyz: [9.548206741083588e-05, -0.0006101724605825136, 0.35873240527652267]  speed_xy: 0.003 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.151 BL:-0.152 BR:-0.151}
  [easing into trot  20%] pitch: +0.00 deg  roll: +0.30 deg  yaw: -0.00 deg  body_xyz: [-0.00010031471432821099, -0.002021850456881947, 0.358898095616373]  speed_xy: 0.005 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.153 FR:-0.151 BL:-0.153 BR:-0.151}
  [easing into trot  30%] pitch: -0.01 deg  roll: +0.47 deg  yaw: -0.00 deg  body_xyz: [6.761847582538781e-05, -0.0034475427694277225, 0.3591259372613772]  speed_xy: 0.005 (target 0.150)  theta: -0.02 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.153 FR:-0.151 BL:-0.153 BR:-0.151}
  [easing into trot  40%] pitch: -0.00 deg  roll: +0.62 deg  yaw: +0.00 deg  body_xyz: [8.416925683371808e-05, -0.004876572851890423, 0.35944010007781374]  speed_xy: 0.004 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.154 FR:-0.150 BL:-0.154 BR:-0.150}
